,Drug,#,%,(,),+,-,.,/,0,1,2,3,4,5,6,7,8,9,=,@,A,B,C,F,H,I,K,L,M,N,O,P,S,W,Z,[,\,],a,b,c,e,g,i,l,n,o,r,s,t,u,target
2590,CS(=O)(=O)N1CCC2(CCN(c3ccncc3)CC2)CC1,0,0,4,4,0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0
2591,COc1cccc(Cn2c(=O)c(-c3cc(F)cc(F)c3)nc3cnc(N4CCN(C)CC4)nc32)c1,0,0,7,7,0,1,0,0,0,2,2,4,2,0,0,0,0,0,1,0,0,0,7,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,18,0,0,0,0,4,0,0,0,0,0,0
2592,CN(C)c1ncc2nc(-c3ccc(F)cc3)c(=O)n(Cc3cccs3)c2n1,0,0,5,5,0,1,0,0,0,2,2,4,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,4,0,0,1,0,0,0
2593,COCCn1c(=O)cnc2cnc(OC)nc21,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0
2594,CCNc1ncc2nc(-c3cn(C)c4ccccc34)c(=O)n(CCC#N)c2n1,1,0,4,4,0,1,0,0,0,2,2,2,2,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,5,0,0,0,0,0,0
2595,O=C(Oc1ccccc1)N1CCC2(CC1)CCN(c1ncccn1)CC2,0,0,3,3,0,0,0,0,0,6,2,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,1
2596,FC(F)(F)c1ccccc1-c1nc(NCc2cccs2)c2ccccc2n1,0,0,3,3,0,1,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,2,0,0,1,0,0,0
2597,COc1cccc(Nc2ncc3nc(-c4cc(F)cc(F)c4)c(=O)n(C4CC4)c3n2)c1,0,0,6,6,0,1,0,0,0,2,2,2,4,0,0,0,0,0,1,0,0,0,4,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,18,0,0,0,0,4,0,0,0,0,0,0
2598,Cn1cccc1C(=O)N1CCC2(CCN(Cc3ccncc3)CC2)CC1,0,0,3,3,0,0,0,0,0,4,2,2,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,1
2599,Cn1cc(-c2nc3cncnc3n(-c3ccccc3)c2=O)c2ccccc21,0,0,2,2,0,2,0,0,0,2,4,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,5,0,0,0,0,0,0
2600,c1cncc(CNc2ncnc3ccc(-c4ccoc4)cc23)c1,0,0,2,2,0,1,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,3,1,0,0,0,0,0
2601,Cc1noc(C)c1C(=O)N1CCC[C@@]2(CCN(Cc3ccccc3)C2)C1,0,0,4,4,0,0,0,0,0,4,2,2,0,0,0,0,0,0,1,2,0,0,12,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,9,0,0,0,0,1,1,0,0,0,0,0
2602,Cc1cnc(CNc2ncnc3ccc(-c4ccccc4C)cc23)cn1,0,0,2,2,0,1,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,4,0,0,0,0,0,0
2603,COCC(=O)N1CCC[C@@]2(CCN(c3ncccn3)C2)C1,0,0,3,3,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,2,0,0,11,0,0,0,0,0,0,2,2,0,0,0,0,1,0,1,0,0,4,0,0,0,0,2,0,0,0,0,0,0
2604,Cc1noc(C)c1C(=O)N1CCC2(CCCN(c3ccncc3)C2)CC1,0,0,4,4,0,0,0,0,0,4,2,2,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,1,0,0,0,0,0
2605,c1ccc(CNc2nc(-c3cccnc3)nc3ccccc23)cc1,0,0,2,2,0,1,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,3,0,0,0,0,0,0
2606,N#CCCn1c(=O)c(CCc2ccccc2)nc2cnc(Oc3ccccc3)nc21,1,0,3,3,0,0,0,0,0,2,4,2,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,18,0,0,0,0,4,0,0,0,0,0,1
2607,O=S(=O)(c1ccccc1)N1CCC2(CCCN(c3ccccn3)C2)CC1,0,0,4,4,0,0,0,0,0,4,2,2,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,1
2608,Clc1ccccc1-c1nccc(-n2ccnc2)n1,0,0,1,1,0,2,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,4,0,0,0,0,0,0
2609,Cc1ccccc1-c1ccc2ncnc(N3CCN(C)CC3)c2c1,0,0,2,2,0,1,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,0,0,0,0,0,0
2610,O=c1c(-c2ccc(F)cc2)nc2cnc(Nc3ccccc3)nc2n1C1CC1,0,0,3,3,0,1,0,0,0,4,4,2,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,4,0,0,0,0,0,0
2611,CN1CCN(c2ncc3nc(-c4ccc(Cl)cc4)c(=O)n(C4CC4)c3n2)CC1,0,0,5,5,0,1,0,0,0,2,2,2,4,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,12,0,0,0,1,4,0,0,0,0,0,0
2612,COc1ccccc1-c1ccc2ncnc(N3CCNCC3)c2c1,0,0,1,1,0,1,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,0,0,0,0,0,0
2613,COc1ccc(Oc2ncc3nc(CCc4ccccc4)c(=O)n(CCC#N)c3n2)cc1,1,0,4,4,0,0,0,0,0,2,2,2,2,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,18,0,0,0,0,4,0,0,0,0,0,1
2614,N#Cc1ccc(CN2CC[C@@]3(CCCNC3)C2)cc1,1,0,2,2,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0
2615,CC(C)NC(=O)N1CC2(CCN(C(=O)c3cccn3C)CC2)C1,0,0,5,5,0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,0,0,0,13,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0
2616,COc1ccccc1-c1cncnc1NCc1cccnc1,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,3,0,0,0,0,0,0
2617,CCNc1ncc2nc(-c3cc(F)cc(F)c3)c(=O)n(CCC#N)c2n1,1,0,5,5,0,1,0,0,0,2,2,2,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,4,0,0,0,0,0,0
2618,c1ccc(C(c2ccccc2)N2CCCC3(CCNCC3)C2)cc1,0,0,3,3,0,0,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
2619,COc1ccccc1CCn1c(=O)c(-c2ccc(Cl)cc2)nc2cncnc21,0,0,3,3,0,1,0,0,0,4,4,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,18,0,0,0,1,4,0,0,0,0,0,1
2620,O=c1c(-c2ccc(F)cc2)nc2cncnc2n1-c1ccccc1,0,0,2,2,0,2,0,0,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,4,0,0,0,0,0,0
2621,CS(=O)(=O)N1CCC2(CC1)CN(C(c1ccccc1)c1ccccc1)C2,0,0,5,5,0,0,0,0,0,6,2,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
2622,CN(Cc1ccco1)c1ncncc1-c1ccoc1,0,0,1,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,2,0,0,0,0,0
2623,N#CCCn1c(=O)c(-c2cc(F)cc(F)c2)nc2cnc(N3CCOCC3)nc21,1,0,5,5,0,1,0,0,0,2,4,2,0,0,0,0,0,0,1,0,0,0,7,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,4,0,0,0,0,0,0
2624,c1ccc2c(-n3ccnc3)nc(-c3ccoc3)nc2c1,0,0,2,2,0,2,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,4,1,0,0,0,0,0
2625,Cn1cccc1C(=O)N1CCC2(CC1)CCN(c1ncccn1)CC2,0,0,3,3,0,0,0,0,0,6,2,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0
2626,COc1cccc(-c2cc(N(C)Cc3ccco3)ncn2)c1,0,0,3,3,0,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,1,0,0,0,0,0
2627,COC(=O)N1CCC2(CCCN(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)C2)CC1,0,0,9,9,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,0,0,0,14,6,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
2628,CC(=O)N1CCC2(CC1)CN(c1ccccc1)C2,0,0,3,3,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
2629,c1csc(CNc2ncncc2-c2ccc3c(c2)OCO3)c1,0,0,2,2,0,1,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,0,0,1,0,0,1
2630,COCCNc1ncnc2ccc(-c3ccccc3C(F)(F)F)cc12,0,0,3,3,0,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,0,0,0,0,0,0
2631,CCNc1ncc2nc(-c3cc(F)cc(F)c3)c(=O)n(CCOC)c2n1,0,0,5,5,0,1,0,0,0,2,2,2,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,4,0,0,0,0,0,0
2632,COc1ccc(Oc2ncc3nc(-c4ccc(OC)cc4)c(=O)n(C)c3n2)cc1,0,0,5,5,0,1,0,0,0,2,2,2,2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,18,0,0,0,0,4,0,0,0,0,0,0
2633,COc1ccc(-n2c(=O)c(-c3ccc(Cl)cc3)nc3cnc(N(C)C)nc32)cc1,0,0,6,6,0,2,0,0,0,2,2,4,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,18,0,0,0,1,4,0,0,0,0,0,0
2634,N#Cc1cccc(NC(=O)N2CCC3(CC2)CCN(C(=O)c2cccc(F)c2)CC3)c1,1,0,6,6,0,0,0,0,0,2,4,2,0,0,0,0,0,0,2,0,0,0,12,1,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
2635,c1cncc(CNc2nc(-c3cccnc3)nc3ccccc23)c1,0,0,2,2,0,1,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,4,0,0,0,0,0,0
2636,Cc1noc(C)c1-c1nc(Nc2ccncc2)c2ccccc2n1,0,0,2,2,0,1,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,4,1,0,0,0,0,0
2637,FC(F)(F)c1ccccc1-c1cc(N2CCNCC2)ncn1,0,0,3,3,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,0
2638,COc1ccccc1CNc1ncncc1-c1ccccc1C(F)(F)F,0,0,2,2,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,2,0,0,0,0,0,0
2639,CC(=O)N1CCC[C@@]2(CCN(c3ccccc3)C2)C1,0,0,3,3,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,2,0,0,10,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0
2640,O=c1c(-c2ccccc2)nc2cnc(N3CCNCC3)nc2n1Cc1ccc(F)cc1,0,0,3,3,0,1,0,0,0,4,4,2,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,4,0,0,0,0,0,1
2641,CC(=O)N1CCC[C@@]2(CCN(Cc3ccc(C#N)cc3)C2)C1,1,0,4,4,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,2,0,0,12,0,0,0,0,0,0,3,1,0,0,0,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0
2642,COc1ccc(-c2nc3cnc(N(C)C)nc3n(C)c2=O)cc1,0,0,4,4,0,1,0,0,0,2,2,2,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,4,0,0,0,0,0,0
2643,COc1ccccc1CNc1ncnc2ccc(-c3ccccc3OC)cc12,0,0,1,1,0,1,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,20,0,0,0,0,2,0,0,0,0,0,1
2644,COc1ccc(-c2nc3cnc(N4CCOCC4)nc3n(CCC#N)c2=O)cc1,1,0,3,3,0,1,0,0,0,2,2,2,2,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,12,0,0,0,0,4,0,0,0,0,0,0
2645,O=c1c(-c2cc(F)cc(F)c2)nc2cnc(N3CCNCC3)nc2n1CCc1ccccc1,0,0,4,4,0,1,0,0,0,4,4,2,0,0,0,0,0,0,1,0,0,0,6,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,4,0,0,0,0,0,1
2646,COc1ccc2[nH]cc(CCNc3ncncc3-c3ccc(C(=O)N(C)C)cc3)c2c1,0,0,4,4,0,1,0,0,0,2,2,4,0,0,0,0,0,0,1,0,0,0,6,0,1,0,0,0,0,2,2,0,0,0,0,1,0,1,0,0,18,0,0,0,0,3,0,0,0,0,0,1
2647,CC(C)NC(=O)N1CC2(CCN(C(=O)c3ccco3)CC2)C1,0,0,5,5,0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0
2648,c1ccc(CNc2cc(-c3ccoc3)ncn2)cc1,0,0,2,2,0,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,1,0,0,0,0,0
2649,FC(F)(F)c1ccccc1-c1cncnc1NCc1ccccc1,0,0,2,2,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,2,0,0,0,0,0,0
2650,CN(C)c1ncc2nc(-c3cc(F)cc(F)c3)c(=O)n(C3CC3)c2n1,0,0,6,6,0,1,0,0,0,2,2,4,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,4,0,0,0,0,0,0
2651,COc1ccccc1CCn1c(=O)c(CCc2ccccc2)nc2cncnc21,0,0,2,2,0,0,0,0,0,4,4,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,18,0,0,0,0,4,0,0,0,0,0,1
2652,COc1cccc(-c2nc(Nc3ccncc3)c3ccccc3n2)c1,0,0,2,2,0,1,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,3,0,0,0,0,0,0
2653,FC(F)(F)c1ccccc1-c1cncnc1Nc1ccccc1,0,0,2,2,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,2,0,0,0,0,0,0
2654,CS(=O)(=O)N1CCC2(CCN(Cc3ccc(C#N)cc3)CC2)CC1,1,0,5,5,0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
2655,O=c1c(-c2ccc(F)cc2)nc2cnc(N3CCNCC3)nc2n1C1CC1,0,0,3,3,0,1,0,0,0,4,4,2,0,0,0,0,0,0,1,0,0,0,7,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,4,0,0,0,0,0,1
2656,CN1CCN(c2ncc3nc(-c4cn(C)c5ccccc45)c(=O)n(CCc4ccccc4)c3n2)CC1,0,0,5,5,0,1,0,0,0,2,2,2,4,2,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,5,0,0,0,0,0,0
2657,COCCn1c(=O)c(-c2ccccc2)nc2cnc(N(C)C)nc21,0,0,4,4,0,1,0,0,0,2,4,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,4,0,0,0,0,0,1
2658,CN(C)C(=O)c1ccc(-c2cncnc2Nc2ccccc2)cc1,0,0,3,3,0,1,0,0,0,2,4,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,2,0,0,0,0,0,0
2659,O=C(c1cccc(F)c1)N1CCC2(CCCN(C(c3ccccc3)c3ccccc3)C2)CC1,0,0,5,5,0,0,0,0,0,4,2,4,0,0,0,0,0,0,1,0,0,0,11,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1
2660,CC(C)NC(=O)N1CCCC2(CCN(C(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)CC2)C1,0,0,11,11,0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,0,0,0,16,6,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
2661,O=C(c1ccco1)N1CCC2(CCN(Cc3ccncc3)CC2)CC1,0,0,3,3,0,0,0,0,0,4,2,2,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,1,0,0,0,0,1
2662,COCCn1c(=O)c(-c2cn(C)c3ccccc23)nc2cnc(N3CCOCC3)nc21,0,0,4,4,0,1,0,0,0,2,4,4,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,14,0,0,0,0,5,0,0,0,0,0,0
2663,COc1ccc(-c2nc3cnc(OCc4ccccc4)nc3n(CCC#N)c2=O)cc1,1,0,3,3,0,1,0,0,0,2,2,2,2,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,18,0,0,0,0,4,0,0,0,0,0,0
2664,COc1ccc(C(=O)N2CCC3(CCCN(c4ccccc4)C3)CC2)cc1,0,0,4,4,0,0,0,0,0,2,2,2,2,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1
2665,CN(C)c1ncnc2ccc(-c3ccoc3)cc12,0,0,2,2,0,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,1,0,0,0,0,0
2666,Cc1noc(C)c1-c1cncnc1NCc1ccccc1,0,0,1,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,3,1,0,0,0,0,0
2667,Cc1cnc(CNc2ccnc(-c3ccccc3C(F)(F)F)n2)cn1,0,0,4,4,0,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,4,0,0,0,0,0,0
2668,COc1ncc2nc(-c3ccccc3)c(=O)n(CCc3ccccc3)c2n1,0,0,3,3,0,1,0,0,0,2,2,4,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,18,0,0,0,0,4,0,0,0,0,0,1
2669,O=C(c1cnccn1)N1CCC2(CC1)CN(Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C2,0,0,9,9,0,0,0,0,0,6,2,0,0,0,0,0,0,0,1,0,0,0,11,6,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,0
2670,O=C(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)N1CCC2(CC1)CCN(c1ccccc1)CC2,0,0,9,9,0,0,0,0,0,6,2,0,0,0,0,0,0,0,1,0,0,0,12,6,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
2671,O=c1c(-c2ccc(F)c(F)c2)nc2cncnc2n1Cc1ccccc1,0,0,3,3,0,1,0,0,0,4,4,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,4,0,0,0,0,0,1
2672,COCCn1c(=O)cnc2cnc(N3CCN(C)CC3)nc21,0,0,3,3,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0
2673,COc1ccc(C(=O)N2CCC3(CCCN(CC(C)C)C3)CC2)cc1,0,0,5,5,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
2674,COc1ccc(CNc2ncncc2-c2ccccc2C(F)(F)F)c(OC)c1,0,0,4,4,0,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,16,0,0,0,0,2,0,0,0,0,0,0
2675,O=C(c1csnn1)N1CCC2(CCN(Cc3nccs3)CC2)CC1,0,0,3,3,0,0,0,0,0,4,2,2,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,2,0,0,0
2676,O=C(Oc1ccccc1)N1CCC2(CC1)CN(Cc1ccncc1)C2,0,0,3,3,0,0,0,0,0,6,2,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,1
2677,COc1ccc2[nH]cc(CCNc3ncncc3-c3cccc(C#N)c3)c2c1,1,0,2,2,0,1,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,18,0,0,0,0,3,0,0,0,0,0,1
2678,CN(C)c1ccc(-c2cncnc2N(C)Cc2ccco2)cc1,0,0,3,3,0,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,1,0,0,0,0,0
2679,CC(=O)N1CCC[C@@]2(CCN(Cc3ccccc3)C2)C1,0,0,3,3,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,2,0,0,11,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0
2680,O=S(=O)(c1ccccc1)N1CCC2(CC1)CN(c1ccccn1)C2,0,0,4,4,0,0,0,0,0,6,2,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0
2681,Cc1cccc(CNc2cc(-c3c(C)noc3C)ncn2)c1,0,0,3,3,0,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,3,1,0,0,0,0,0
2682,COc1ccc(C(=O)N2CCC3(CC2)CN(C(=O)Nc2cccc(C#N)c2)C3)cc1,1,0,6,6,0,0,0,0,0,2,4,2,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
